"","playerID","yearID","stint","teamID","lgID","POS","G","GS","InnOuts","PO","A","E","DP","PB","WP","SB","CS","ZR"
"510","planked01",1901,1,"PHA","AL","P",33,0,0,6,63,5,2,0,0,0,0,0
"511","pooleed01",1901,1,"PIT","NL","2B",1,0,0,1,2,0,0,0,0,0,0,0
"512","pooleed01",1901,1,"PIT","NL","3B",1,0,0,0,0,0,0,0,0,0,0,0
"513","pooleed01",1901,1,"PIT","NL","OF",12,0,0,18,0,0,0,0,0,0,0,0
"514","pooleed01",1901,1,"PIT","NL","P",12,0,0,7,21,2,1,0,0,0,0,0
"515","powelja01",1901,1,"SLN","NL","P",45,0,0,15,64,7,4,0,0,0,0,0
"516","powerdo01",1901,1,"PHA","AL","1B",3,0,0,30,0,2,1,0,0,0,0,0
"517","powerdo01",1901,1,"PHA","AL","C",111,0,0,400,137,27,6,19,0,0,0,0
"518","prentge01",1901,1,"BOS","AL","P",2,0,0,0,3,0,0,0,0,0,0,0
"519","quinnjo02",1901,1,"WS1","AL","2B",66,0,0,158,177,16,17,0,0,0,0,0
"520","raymefr01",1901,1,"CHN","NL","1B",5,0,0,54,4,1,1,0,0,0,0,0
"521","raymefr01",1901,1,"CHN","NL","2B",3,0,0,6,12,1,0,0,0,0,0,0
"522","raymefr01",1901,1,"CHN","NL","3B",82,0,0,79,143,30,5,0,0,0,0,0
"523","raymefr01",1901,1,"CHN","NL","SS",29,0,0,47,76,10,9,0,0,0,0,0
"524","reidybi01",1901,1,"MLA","AL","P",37,0,0,10,72,4,2,0,0,0,0,0
"525","richabi01",1901,1,"SLN","NL","1B",15,0,0,154,5,3,7,0,0,0,0,0
"526","rickejo01",1901,1,"BSN","NL","OF",13,0,0,35,2,1,1,0,0,0,0,0
"527","ritchcl01",1901,1,"PIT","NL","2B",139,0,0,340,392,46,53,0,0,0,0,0
"528","ritchcl01",1901,1,"PIT","NL","SS",1,0,0,0,4,0,1,0,0,0,0,0
"529","robinwi01",1901,1,"BLA","AL","C",67,0,0,235,61,16,4,5,0,0,0,0
"530","rohege01",1901,1,"BLA","AL","1B",8,0,0,61,1,6,4,0,0,0,0,0
"531","rohege01",1901,1,"BLA","AL","3B",6,0,0,6,2,1,2,0,0,0,0,0
"532","rusieam01",1901,1,"CIN","NL","P",3,0,0,1,8,1,0,0,0,0,0,0
"533","ryanja01",1901,1,"SLN","NL","1B",5,0,0,50,5,0,7,0,0,0,0,0
"534","ryanja01",1901,1,"SLN","NL","2B",9,0,0,17,28,6,3,0,0,0,0,0
"535","ryanja01",1901,1,"SLN","NL","C",65,0,0,292,84,7,7,9,0,0,0,0
"536","ryanja01",1901,1,"SLN","NL","OF",3,0,0,3,1,1,0,0,0,0,0,0
"537","schaege01",1901,1,"CHN","NL","2B",1,0,0,3,2,0,1,0,0,0,0,0
"538","schaege01",1901,1,"CHN","NL","3B",1,0,0,3,2,0,0,0,0,0,0,0
"539","scheifr01",1901,1,"CLE","AL","SS",92,0,0,176,268,51,26,0,0,0,0,0
"540","schmicr01",1901,1,"BLA","AL","P",4,0,0,0,11,0,0,0,0,0,0,0
"541","schreos01",1901,1,"BOS","AL","1B",4,0,0,28,0,0,1,0,0,0,0,0
"542","schreos01",1901,1,"BOS","AL","C",72,0,0,273,102,30,8,14,0,0,0,0
"543","schripo01",1901,1,"SLN","NL","1B",19,0,0,182,18,6,11,0,0,0,0,0
"544","schripo01",1901,1,"SLN","NL","C",24,0,0,91,43,4,2,5,0,0,0,0
"545","scottdi01",1901,1,"CIN","NL","P",3,0,0,1,3,2,0,0,0,0,0,0
"546","scotted01",1901,1,"CLE","AL","P",17,0,0,5,43,2,1,0,0,0,0,0
"547","selbaki01",1901,1,"NY1","NL","OF",125,0,0,215,11,14,2,0,0,0,0,0
"548","seyboso01",1901,1,"PHA","AL","1B",14,0,0,144,7,2,7,0,0,0,0,0
"549","seyboso01",1901,1,"PHA","AL","OF",100,0,0,157,10,8,2,0,0,0,0,0
"550","seymocy01",1901,1,"BLA","AL","1B",1,0,0,7,1,1,1,0,0,0,0,0
"551","seymocy01",1901,1,"BLA","AL","OF",133,0,0,271,23,17,4,0,0,0,0,0
"552","shawal01",1901,1,"DET","AL","1B",9,0,0,83,3,5,7,0,0,0,0,0
"553","shawal01",1901,1,"DET","AL","3B",2,0,0,0,1,0,0,0,0,0,0,0
"554","shawal01",1901,1,"DET","AL","C",42,0,0,134,46,12,5,0,0,0,0,0
"555","shawal01",1901,1,"DET","AL","SS",1,0,0,0,0,0,0,0,0,0,0,0
"556","shayda01",1901,1,"CLE","AL","SS",19,0,0,38,53,10,3,0,0,0,0,0
"557","sheckji01",1901,1,"BRO","NL","3B",12,0,0,9,22,12,1,0,0,0,0,0
"558","sheckji01",1901,1,"BRO","NL","OF",121,0,0,287,15,18,5,0,0,0,0,0
"559","shugafr01",1901,1,"CHA","AL","SS",107,0,0,223,338,73,32,0,0,0,0,0
"560","sieveed01",1901,1,"DET","AL","P",38,0,0,16,74,9,5,0,0,0,0,0
