"Name","Team","URL","PitchType","Speed"
"Taijuan Walker","Mariners","https://www.baseballprospectus.com/card/card.php?id=67148","Splitter",88.8
"Jeff Samardzija","White Sox","https://www.baseballprospectus.com/card/card.php?id=50175","Splitter",84.4
"Wily Peralta","Brewers","https://www.baseballprospectus.com/card/card.php?id=50538","Splitter",82.7
"Blake Treinen","Nationals","https://www.baseballprospectus.com/card/card.php?id=68804","Sinker",96.3
"Jeurys Familia","Mets","https://www.baseballprospectus.com/card/card.php?id=58905","Sinker",97.1
"Noah Syndergaard","Mets","https://www.baseballprospectus.com/card/card.php?id=67132","Sinker",96.9
"Bryan Morris","Marlins","https://www.baseballprospectus.com/card/card.php?id=51993","Sinker",94.9
"Jake Arrieta","Cubs","https://www.baseballprospectus.com/card/card.php?id=52691","Sinker",94.4
"Jarred Cosart","Marlins","https://www.baseballprospectus.com/card/card.php?id=59986","Sinker",93.9
"Aroldis Chapman","Reds","https://www.baseballprospectus.com/card/card.php?id=53014","Slider",86.9
"Carter Capps","Marlins","https://www.baseballprospectus.com/card/card.php?id=70434","Slider",83.8
"Arquimedes Caminero","Pirates","https://www.baseballprospectus.com/card/card.php?id=51195","Slider",91
"Trevor Rosenthal","Cardinals","https://www.baseballprospectus.com/card/card.php?id=60664","Slider",88.2
"Blake Treinen","Nationals","https://www.baseballprospectus.com/card/card.php?id=68804","Slider",86.4
"Ken Giles","Phillies","https://www.baseballprospectus.com/card/card.php?id=70354","Slider",85.9
"Nathan Eovaldi","Yankees","https://www.baseballprospectus.com/card/card.php?id=57820","Slider",84.3
"Jeurys Familia","Mets","https://www.baseballprospectus.com/card/card.php?id=58905","Slider",89.2
"Jumbo Diaz","Reds","https://www.baseballprospectus.com/card/card.php?id=34744","Slider",85.7
"Noah Syndergaard","Mets","https://www.baseballprospectus.com/card/card.php?id=67132","Slider",83
"Daniel Hudson","Diamondbacks","https://www.baseballprospectus.com/card/card.php?id=57996","Slider",87
"Hector Rondon","Cubs","https://www.baseballprospectus.com/card/card.php?id=52251","Slider",85.7
"Hansel Robles","Mets","https://www.baseballprospectus.com/card/card.php?id=66336","Slider",87.7
"Bo Schultz","Blue Jays","https://www.baseballprospectus.com/card/card.php?id=58646","Slider",88.3
"Joe Kelly","Red Sox","https://www.baseballprospectus.com/card/card.php?id=59351","Slider",85.6
"Garrett Richards","Angels","https://www.baseballprospectus.com/card/card.php?id=60655","Slider",86.8
"Kevin Gausman","Orioles","https://www.baseballprospectus.com/card/card.php?id=68557","Slider",80.2
"Gerrit Cole","Pirates","https://www.baseballprospectus.com/card/card.php?id=65957","Slider",86.6
"John Axford","Rockies","https://www.baseballprospectus.com/card/card.php?id=55512","Slider",87.4
"Roberto Osuna","Blue Jays","https://www.baseballprospectus.com/card/card.php?id=68997","Slider",87.4
"Luis Garcia","Phillies","https://www.baseballprospectus.com/card/card.php?id=49727","Slider",84.8
"Jason Motte","Cubs","https://www.baseballprospectus.com/card/card.php?id=48314","Slider",87.5
"Matt Harvey","Mets","https://www.baseballprospectus.com/card/card.php?id=68391","Slider",89.3
"J.R. Graham","Twins","https://www.baseballprospectus.com/card/card.php?id=70305","Slider",84.3
