"","yearID","teamID","name","AB","H","2B","3B","HR","R","SB","BA","OBP","OPS","SLG","wOBA"
"337",2012,"LAA","Los Angeles Angels of Anaheim",5536,1518,273,22,187,767,134,0.2742,0.3316,0.7644,0.4328,0.333125308743619
"338",2012,"MIN","Minnesota Twins",5562,1448,270,30,131,701,135,0.2603,0.3248,0.7151,0.3903,0.314609294041451
"339",2012,"NYA","New York Yankees",5524,1462,280,13,245,804,93,0.2647,0.3369,0.79,0.4531,0.343366774193548
"340",2012,"OAK","Oakland Athletics",5527,1315,267,32,195,713,122,0.2379,0.3103,0.7139,0.4037,0.312899447693307
"341",2012,"SEA","Seattle Mariners",5494,1285,241,27,149,619,104,0.2339,0.2956,0.6645,0.3689,0.292708381742739
"342",2012,"TBA","Tampa Bay Rays",5398,1293,250,30,175,697,134,0.2395,0.3167,0.7109,0.3942,0.31297067062119
"343",2012,"TEX","Texas Rangers",5590,1526,303,32,200,808,91,0.273,0.3336,0.7796,0.446,0.338449821948851
"344",2012,"TOR","Toronto Blue Jays",5487,1346,247,22,198,716,123,0.2453,0.3092,0.7158,0.4066,0.3129699669967
"345",2012,"ARI","Arizona Diamondbacks",5462,1416,307,33,165,734,93,0.2592,0.3279,0.7461,0.4182,0.326172663052407
"346",2012,"ATL","Atlanta Braves",5425,1341,263,30,149,700,101,0.2472,0.3198,0.709,0.3891,0.312266798418972
"347",2012,"CHN","Chicago Cubs",5411,1297,265,36,137,613,94,0.2397,0.3016,0.6795,0.3779,0.299017383966245
"348",2012,"CIN","Cincinnati Reds",5477,1377,296,30,172,669,87,0.2514,0.3153,0.7259,0.4106,0.317308672624959
"349",2012,"COL","Colorado Rockies",5577,1526,306,52,166,758,100,0.2736,0.3297,0.7662,0.4364,0.332975417895772
"350",2012,"HOU","Houston Astros",5407,1276,238,28,146,583,105,0.236,0.3016,0.673,0.3714,0.297049848942598
"351",2012,"LAN","Los Angeles Dodgers",5438,1369,269,23,116,637,104,0.2517,0.3165,0.6902,0.3737,0.305032284905974
"352",2012,"MIA","Miami Marlins",5437,1327,261,39,137,609,149,0.2441,0.3079,0.6899,0.382,0.303306204136091
"353",2012,"MIL","Milwaukee Brewers",5557,1442,300,39,202,776,158,0.2595,0.325,0.7616,0.4366,0.33155709173715
"354",2012,"NYN","New York Mets",5450,1357,286,21,139,650,79,0.249,0.3157,0.7014,0.3857,0.309085145228216
"355",2012,"PHI","Philadelphia Phillies",5544,1414,271,28,158,684,116,0.2551,0.3166,0.7161,0.3995,0.314033278688525
"356",2012,"PIT","Pittsburgh Pirates",5412,1313,241,37,170,651,73,0.2426,0.3038,0.6988,0.395,0.305783602150538
"357",2012,"SDN","San Diego Padres",5422,1339,272,43,121,651,155,0.247,0.3194,0.6993,0.3799,0.308994875185981
"358",2012,"SFN","San Francisco Giants",5558,1495,287,57,103,718,118,0.269,0.3274,0.7241,0.3967,0.317184309248083
"359",2012,"SLN","St. Louis Cardinals",5622,1526,290,37,159,765,91,0.2714,0.3375,0.7586,0.421,0.331887805657663
"360",2012,"WAS","Washington Nationals",5615,1468,301,25,194,731,105,0.2614,0.3222,0.7498,0.4276,0.326698590179874
"361",2013,"BAL","Baltimore Orioles",5620,1460,298,14,212,745,79,0.2598,0.3126,0.7435,0.431,0.325485368644761
"362",2013,"BOS","Boston Red Sox",5651,1566,363,29,178,853,123,0.2771,0.3492,0.7953,0.4461,0.349313345923827
"363",2013,"CHA","Chicago White Sox",5498,1307,297,18,172,602,63,0.2377,0.3005,0.6926,0.3921,0.306163573085847
"364",2013,"CLE","Cleveland Indians",5465,1391,290,23,171,745,117,0.2545,0.3267,0.7366,0.4099,0.32524404955983
"365",2013,"DET","Detroit Tigers",5735,1625,292,23,176,796,35,0.2833,0.346,0.7803,0.4344,0.343376966645689
"366",2013,"HOU","Houston Astros",5457,1307,266,16,148,610,110,0.2395,0.2988,0.6743,0.3755,0.298869914615771
"367",2013,"KCA","Kansas City Royals",5549,1443,254,34,112,648,153,0.26,0.3149,0.6936,0.3786,0.307312634186623
"368",2013,"LAA","Los Angeles Angels of Anaheim",5588,1476,270,39,164,733,82,0.2641,0.3289,0.7434,0.4145,0.32732572714125
"369",2013,"MIN","Minnesota Twins",5564,1346,285,15,151,614,52,0.2419,0.3124,0.6924,0.3799,0.308008412878175
"370",2013,"NYA","New York Yankees",5449,1321,247,24,144,650,115,0.2424,0.3069,0.6828,0.3758,0.303343375499334
"371",2013,"OAK","Oakland Athletics",5521,1403,301,25,186,767,74,0.2541,0.3266,0.7454,0.4188,0.328510827407886
"372",2013,"SEA","Seattle Mariners",5558,1318,249,17,188,624,49,0.2371,0.3056,0.6951,0.3895,0.308096810933941
"373",2013,"TBA","Tampa Bay Rays",5538,1421,296,23,165,700,73,0.2566,0.329,0.7368,0.4077,0.325588131231907
"374",2013,"TEX","Texas Rangers",5585,1465,262,23,176,730,149,0.2623,0.3233,0.7352,0.412,0.324279674796748
"375",2013,"TOR","Toronto Blue Jays",5537,1398,273,24,185,712,112,0.2525,0.3178,0.7285,0.4107,0.321279764821166
"376",2013,"ARI","Arizona Diamondbacks",5676,1468,302,31,130,685,62,0.2586,0.3232,0.7147,0.3915,0.316615825505493
